"Provider ID","Provider Name","Provider Type","Provider Primary Inspection Category","Provider Street Address","Provider Address Line 2","Provider City","Provider Post Code","Provider Local Authority","Provider Region","Service / Population Group","Key Question","Latest Rating","Publication Date","Report Type","URL","Brand ID","Brand Name"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Acute wards for adults of working age and psychiatric intensive care units","Safe","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Acute wards for adults of working age and psychiatric intensive care units","Effective","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Acute wards for adults of working age and psychiatric intensive care units","Caring","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Acute wards for adults of working age and psychiatric intensive care units","Responsive","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Acute wards for adults of working age and psychiatric intensive care units","Well-led","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Acute wards for adults of working age and psychiatric intensive care units","Overall","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Child and adolescent mental health wards","Safe","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Child and adolescent mental health wards","Effective","Requires improvement",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Child and adolescent mental health wards","Caring","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Child and adolescent mental health wards","Responsive","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Child and adolescent mental health wards","Well-led","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Child and adolescent mental health wards","Overall","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Long stay/rehabilitation mental health wards for working age adults","Safe","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Long stay/rehabilitation mental health wards for working age adults","Effective","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Long stay/rehabilitation mental health wards for working age adults","Caring","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Long stay/rehabilitation mental health wards for working age adults","Responsive","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Long stay/rehabilitation mental health wards for working age adults","Well-led","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Long stay/rehabilitation mental health wards for working age adults","Overall","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Overall","Safe","Good",2015-08-03,"Provider","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Overall","Effective","Good",2015-08-03,"Provider","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Overall","Caring","Good",2015-08-03,"Provider","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Overall","Responsive","Good",2015-08-03,"Provider","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Overall","Well-led","Good",2015-08-03,"Provider","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Overall","Overall","Good",2015-08-03,"Provider","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Specialist eating disorders services","Safe","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Specialist eating disorders services","Effective","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Specialist eating disorders services","Caring","Outstanding",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Specialist eating disorders services","Responsive","Outstanding",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Specialist eating disorders services","Well-led","Good",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-118166459","Affinity Healthcare Limited","Independent Healthcare Org","Mental health - community & hospital - independent","Unsted Regional Office","Munstead Heath Road","Godalming","GU7 1UW","Surrey","South East","Specialist eating disorders services","Overall","Outstanding",2015-08-03,"CoreService","http://www.cqc.org.uk/provider/1-118166459","BD144","BRAND Acadia"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health inpatient services","Safe","Requires improvement",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health inpatient services","Effective","Requires improvement",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health inpatient services","Caring","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health inpatient services","Responsive","Requires improvement",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health inpatient services","Well-led","Requires improvement",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health inpatient services","Overall","Requires improvement",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for adults","Safe","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for adults","Effective","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for adults","Caring","Outstanding",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for adults","Responsive","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for adults","Well-led","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for adults","Overall","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for children, young people and families","Safe","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for children, young people and families","Effective","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for children, young people and families","Caring","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for children, young people and families","Responsive","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for children, young people and families","Well-led","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for children, young people and families","Overall","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Overall","Safe","Good",2017-04-26,"Provider","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Overall","Effective","Good",2017-04-26,"Provider","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Overall","Caring","Good",2017-04-26,"Provider","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Overall","Responsive","Good",2017-04-26,"Provider","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Overall","Well-led","Requires improvement",2017-04-26,"Provider","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Overall","Overall","Good",2017-04-26,"Provider","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Urgent care services","Safe","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Urgent care services","Effective","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Urgent care services","Caring","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Urgent care services","Responsive","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Urgent care services","Well-led","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-165291700","Anglian Community Enterprise Community Interest Company (ACE CIC)","Independent Healthcare Org","Community health - NHS & Independent","659-662 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Urgent care services","Overall","Good",2017-04-26,"CoreService","http://www.cqc.org.uk/provider/1-165291700","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health inpatient services","Safe","Good",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health inpatient services","Effective","Good",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health inpatient services","Caring","Good",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health inpatient services","Responsive","Good",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health inpatient services","Well-led","Good",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health inpatient services","Overall","Good",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for adults","Safe","Good",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for adults","Effective","Good",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for adults","Caring","Good",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for adults","Responsive","Good",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for adults","Well-led","Good",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for adults","Overall","Good",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for children, young people and families","Safe","Good",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for children, young people and families","Effective","Good",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for children, young people and families","Caring","Outstanding",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for children, young people and families","Responsive","Good",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for children, young people and families","Well-led","Good",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
"1-168055209","Provide Community Interest Company","Independent Healthcare Org","Community health - NHS & Independent","900 The Crescent","Colchester Business Park","Colchester","CO4 9YQ","Essex","East of England","Community health services for children, young people and families","Overall","Good",2017-03-08,"CoreService","http://www.cqc.org.uk/provider/1-168055209","-","-"
